                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                 1.4988,                 1.1405,                 1.0205,                0.36619,                0.28606,                0.26759,                0.14984,                 1.4089,                 1.0637,                0.98051,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.4991,                 1.1406,                 1.0206,                0.37849,                0.28244,                0.27057,                0.15159,                  1.405,                 1.0644,                0.98021,               0.007228,               0.007228,               0.007228
                     58,                 1.4936,                 1.1366,                 1.0193,                0.37424,                0.28166,                0.26863,                 0.1499,                 1.4111,                 1.0671,                0.98098,              0.0071785,              0.0071785,              0.0071785
                     59,                  1.507,                  1.152,                 1.0198,                0.37046,                0.28353,                0.26875,                0.15045,                 1.4344,                 1.0945,                0.98197,               0.007129,               0.007129,               0.007129
                     60,                  1.523,                 1.1562,                 1.0156,                0.37157,                0.28423,                0.27059,                0.15153,                 1.4394,                 1.0958,                0.97676,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.5277,                 1.1635,                 1.0117,                0.36779,                 0.2854,                0.27141,                0.15294,                 1.4417,                  1.099,                0.97476,                0.00703,                0.00703,                0.00703
                     62,                 1.5226,                 1.1654,                 1.0085,                0.37835,                 0.2857,                0.27393,                0.15372,                 1.4392,                 1.0999,                0.97352,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.5268,                 1.1639,                  1.006,                0.36662,                0.29201,                0.27383,                0.15372,                 1.4386,                 1.0993,                0.97093,               0.006931,               0.006931,               0.006931
                     64,                 1.5349,                 1.1722,                 1.0062,                0.37385,                0.29277,                0.27488,                0.15405,                 1.4396,                 1.0993,                0.97039,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.5219,                 1.1685,                 1.0029,                0.37463,                  0.287,                0.27453,                0.15404,                 1.4387,                 1.0979,                0.97038,               0.006832,               0.006832,               0.006832
                     66,                 1.5276,                 1.1647,                 1.0032,                0.37413,                0.29021,                0.27737,                0.15492,                 1.4336,                 1.0955,                0.96677,              0.0067825,              0.0067825,              0.0067825
                     67,                  1.521,                 1.1582,                 1.0043,                0.36843,                0.29623,                0.27746,                0.15639,                 1.4304,                 1.0909,                0.96697,               0.006733,               0.006733,               0.006733
                     68,                 1.5142,                 1.1523,                0.99995,                0.38445,                0.29274,                0.28062,                0.15804,                 1.4298,                 1.0875,                0.96681,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.5133,                 1.1517,                0.99923,                0.38281,                0.29162,                0.27827,                0.15598,                 1.4309,                 1.0877,                0.96636,               0.006634,               0.006634,               0.006634
                     70,                 1.5035,                  1.142,                0.99624,                0.38689,                 0.2893,                0.27974,                0.15726,                 1.4244,                 1.0839,                0.96439,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.5057,                 1.1398,                0.99334,                0.37855,                 0.2887,                0.27939,                 0.1565,                 1.4248,                 1.0813,                0.96431,               0.006535,               0.006535,               0.006535
                     72,                 1.4992,                 1.1406,                0.99702,                0.38051,                0.29166,                0.28046,                0.15733,                 1.4225,                 1.0804,                0.96311,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.5011,                 1.1397,                0.99547,                0.38008,                0.29764,                0.28163,                0.15756,                  1.424,                   1.08,                0.96227,               0.006436,               0.006436,               0.006436
                     74,                 1.5071,                 1.1396,                0.99401,                0.37611,                0.29714,                0.28202,                0.15818,                 1.4212,                 1.0762,                0.96315,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.4956,                 1.1366,                0.99106,                0.37826,                0.29852,                0.28284,                0.15846,                 1.4147,                 1.0743,                0.96107,               0.006337,               0.006337,               0.006337
                     76,                    1.5,                 1.1319,                0.99236,                0.38802,                0.29576,                  0.283,                0.15868,                 1.4142,                 1.0721,                0.96002,              0.0062875,              0.0062875,              0.0062875
                     77,                   1.49,                 1.1262,                0.99201,                0.37898,                0.29714,                 0.2826,                0.15842,                 1.4126,                 1.0699,                0.96018,               0.006238,               0.006238,               0.006238
                     78,                 1.4914,                 1.1334,                0.99179,                0.38439,                 0.2977,                0.28529,                0.15987,                 1.4132,                 1.0668,                0.95993,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.4896,                 1.1213,                0.99293,                0.38782,                0.29938,                0.28624,                0.16083,                 1.4105,                 1.0624,                0.95913,               0.006139,               0.006139,               0.006139
                     80,                 1.4831,                 1.1199,                0.98943,                 0.3876,                0.29825,                0.28591,                0.16054,                 1.4084,                 1.0644,                0.95876,              0.0060895,              0.0060895,              0.0060895
