                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.4543,                 1.0874,                 1.0039,                0.38027,                0.29222,                 0.2823,                0.16127,                 1.3764,                 1.0199,                0.97149,               0.007426,               0.007426,               0.007426
                     54,                 1.4562,                 1.0952,                  1.006,                0.38574,                0.29784,                0.28532,                0.16237,                 1.3693,                 1.0214,                0.96933,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.4496,                 1.0882,                  1.003,                0.38859,                0.29435,                 0.2854,                0.16297,                 1.3645,                 1.0151,                0.96865,               0.007327,               0.007327,               0.007327
                     56,                 1.4457,                 1.0818,                 1.0036,                0.39138,                0.29585,                 0.2869,                0.16299,                 1.3706,                 1.0124,                0.96868,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.4446,                 1.0778,                 1.0032,                0.38603,                0.30091,                0.28733,                0.16348,                 1.3644,                 1.0113,                0.96864,               0.007228,               0.007228,               0.007228
                     58,                 1.4368,                 1.0717,                 1.0016,                0.38656,                 0.3022,                0.28925,                0.16468,                 1.3628,                 1.0044,                0.96647,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.4344,                 1.0743,                  1.003,                0.39495,                0.29461,                0.28891,                0.16501,                 1.3592,                  1.007,                0.96683,               0.007129,               0.007129,               0.007129
                     60,                 1.4406,                 1.0703,                 1.0009,                0.37752,                0.30272,                0.28978,                0.16517,                 1.3701,                 1.0113,                0.96604,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.4526,                 1.0837,                0.99795,                0.39625,                0.30355,                0.29427,                0.16818,                 1.3806,                 1.0284,                0.96397,                0.00703,                0.00703,                0.00703
                     62,                 1.4579,                 1.0894,                 0.9954,                0.39326,                0.30375,                0.29388,                 0.1682,                 1.3852,                 1.0342,                0.96314,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.4654,                 1.0933,                0.99384,                0.38926,                0.29943,                 0.2906,                0.16619,                 1.3897,                 1.0408,                0.96258,               0.006931,               0.006931,               0.006931
                     64,                 1.4786,                 1.1012,                0.99456,                0.38936,                0.30333,                0.29239,                0.16773,                 1.3906,                 1.0405,                0.96069,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.4675,                 1.0996,                0.99167,                0.38483,                0.30249,                0.29204,                0.16672,                 1.3897,                  1.044,                0.95951,               0.006832,               0.006832,               0.006832
