                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                  1.441,                  1.087,                0.93649,                0.38736,                  0.304,                0.29766,                0.17094,                 1.3925,                 1.0653,                0.92341,               0.007624,               0.007624,               0.007624
                     50,                 1.4447,                  1.088,                0.93474,                 0.3989,                0.30956,                0.30049,                0.17552,                 1.3867,                 1.0573,                0.92166,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.4388,                 1.0777,                0.93426,                0.41033,                0.31079,                 0.3048,                 0.1764,                 1.3811,                  1.056,                 0.9205,               0.007525,               0.007525,               0.007525
                     52,                 1.4264,                  1.074,                0.93543,                0.39709,                0.31377,                0.30445,                0.17563,                  1.381,                 1.0528,                0.92087,              0.0074755,              0.0074755,              0.0074755
                     53,                  1.434,                 1.0741,                0.93271,                 0.3957,                0.30735,                0.29849,                0.17147,                 1.3873,                 1.0506,                0.92041,               0.007426,               0.007426,               0.007426
                     54,                 1.4383,                 1.0817,                0.93357,                0.40195,                0.31365,                0.30464,                0.17542,                 1.3783,                 1.0461,                0.92138,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.4311,                 1.0728,                0.93254,                 0.4052,                0.30902,                0.30435,                0.17625,                 1.3749,                 1.0483,                 0.9195,               0.007327,               0.007327,               0.007327
                     56,                 1.4266,                 1.0669,                 0.9321,                0.41043,                0.30661,                0.30186,                 0.1734,                 1.3813,                 1.0461,                0.92115,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.4247,                 1.0663,                0.93225,                0.41769,                0.30821,                0.30471,                0.17753,                 1.3702,                 1.0401,                0.91798,               0.007228,               0.007228,               0.007228
                     58,                 1.4201,                 1.0593,                0.93051,                0.41273,                0.31182,                 0.3099,                0.17927,                 1.3656,                 1.0366,                 0.9165,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.4165,                 1.0608,                0.93129,                0.39737,                0.31561,                0.30829,                0.17923,                 1.3669,                 1.0402,                0.91749,               0.007129,               0.007129,               0.007129
                     60,                 1.4181,                 1.0545,                0.93063,                0.41356,                0.31293,                0.30963,                 0.1801,                 1.3636,                 1.0338,                0.91658,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.4158,                  1.053,                0.92872,                0.42029,                0.31528,                0.31293,                0.18158,                 1.3603,                 1.0311,                0.91504,                0.00703,                0.00703,                0.00703
                     62,                 1.4126,                 1.0544,                0.92827,                0.41633,                0.31431,                0.31194,                0.18189,                 1.3621,                 1.0317,                0.91594,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.4156,                  1.052,                0.92721,                0.41631,                0.31464,                 0.3098,                0.18001,                 1.3593,                 1.0318,                0.91476,               0.006931,               0.006931,               0.006931
                     64,                 1.4226,                 1.0562,                0.92781,                0.41184,                0.31536,                0.31115,                0.18002,                 1.3618,                 1.0282,                0.91547,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.4109,                 1.0526,                0.92721,                0.41206,                0.31827,                0.31085,                0.18081,                 1.3574,                 1.0298,                0.91485,               0.006832,               0.006832,               0.006832
                     66,                 1.4151,                 1.0483,                0.92714,                0.42217,                0.31409,                0.31516,                0.18311,                 1.3584,                  1.024,                0.91563,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.4102,                 1.0453,                0.92769,                0.41927,                0.31395,                0.31294,                0.18332,                  1.355,                 1.0261,                 0.9134,               0.006733,               0.006733,               0.006733
                     68,                 1.4067,                 1.0393,                0.92573,                0.42441,                0.32081,                0.31567,                0.18373,                 1.3542,                  1.024,                0.91494,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.4043,                 1.0371,                 0.9248,                0.43048,                 0.3188,                0.31642,                0.18413,                 1.3539,                 1.0226,                0.91404,               0.006634,               0.006634,               0.006634
                     70,                  1.397,                 1.0296,                0.92368,                0.41934,                0.32326,                  0.315,                0.18398,                 1.3517,                 1.0195,                 0.9137,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.4009,                 1.0298,                0.92242,                0.42473,                0.32211,                0.31616,                0.18448,                 1.3502,                 1.0165,                0.91259,               0.006535,               0.006535,               0.006535
                     72,                 1.3932,                 1.0296,                0.92517,                0.42428,                0.31936,                0.31455,                 0.1834,                 1.3501,                 1.0186,                0.91316,              0.0064855,              0.0064855,              0.0064855
