                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.4329,                  1.056,                0.97599,                0.40583,                0.32038,                0.30535,                0.17743,                 1.3666,                 1.0155,                0.94695,               0.006139,               0.006139,               0.006139
                     80,                 1.4288,                 1.0555,                 0.9735,                 0.4075,                0.31713,                0.30568,                0.17725,                 1.3623,                 1.0158,                 0.9458,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.4329,                 1.0627,                0.97512,                0.41398,                0.31485,                0.30802,                0.17937,                 1.3589,                 1.0131,                0.94469,                0.00604,                0.00604,                0.00604
                     82,                 1.4239,                  1.051,                0.97035,                0.40593,                0.32051,                0.30803,                0.17863,                 1.3593,                 1.0103,                0.94553,              0.0059905,              0.0059905,              0.0059905
                     83,                  1.429,                   1.05,                 0.9716,                0.40408,                0.32147,                0.30826,                 0.1788,                 1.3609,                 1.0111,                0.94511,               0.005941,               0.005941,               0.005941
                     84,                 1.4263,                 1.0534,                0.97182,                0.41398,                0.31414,                 0.3099,                0.17982,                 1.3588,                 1.0092,                0.94483,              0.0058915,              0.0058915,              0.0058915
                     85,                 1.4259,                 1.0493,                0.97144,                0.41464,                0.31495,                0.31015,                 0.1806,                 1.3565,                 1.0073,                 0.9439,               0.005842,               0.005842,               0.005842
                     86,                 1.4184,                 1.0479,                0.97186,                  0.415,                0.31782,                0.31106,                0.18072,                 1.3573,                 1.0054,                0.94399,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.4192,                 1.0471,                0.97249,                0.41489,                0.32163,                0.31092,                0.18022,                 1.3559,                  1.004,                0.94442,               0.005743,               0.005743,               0.005743
                     88,                 1.4121,                 1.0391,                0.96835,                 0.4197,                0.31845,                0.31289,                0.18147,                 1.3555,                 1.0016,                0.94418,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.4305,                 1.0507,                0.97071,                0.41424,                0.31885,                0.31259,                0.18122,                  1.354,                 1.0009,                0.94352,               0.005644,               0.005644,               0.005644
                     90,                 1.4189,                 1.0426,                0.97089,                0.41101,                0.31962,                0.31188,                0.18026,                  1.355,                 1.0009,                 0.9442,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.4239,                 1.0441,                0.97069,                0.40735,                0.32031,                0.31231,                0.18072,                 1.3516,                 1.0011,                0.94331,               0.005545,               0.005545,               0.005545
                     92,                 1.4058,                 1.0318,                0.96777,                0.41455,                0.32018,                0.31242,                0.18072,                 1.3513,                0.99972,                0.94321,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.4158,                 1.0386,                0.96728,                0.41936,                0.31985,                 0.3128,                 0.1808,                 1.3507,                 0.9991,                0.94174,               0.005446,               0.005446,               0.005446
                     94,                 1.4084,                 1.0269,                0.96688,                0.42389,                0.32029,                0.31418,                0.18212,                  1.348,                0.99556,                0.94074,              0.0053965,              0.0053965,              0.0053965
                     95,                 1.4136,                  1.032,                 0.9679,                0.41922,                0.32153,                0.31509,                0.18302,                 1.3476,                0.99559,                 0.9411,               0.005347,               0.005347,               0.005347
                     96,                 1.4101,                 1.0328,                0.96518,                0.42491,                 0.3174,                0.31552,                0.18352,                 1.3472,                 0.9941,                0.94146,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.4069,                 1.0247,                0.96284,                0.42364,                0.32081,                0.31628,                0.18413,                 1.3457,                0.99231,                 0.9415,               0.005248,               0.005248,               0.005248
                     98,                  1.404,                 1.0207,                0.96409,                0.42476,                0.31961,                0.31654,                 0.1844,                 1.3447,                0.99101,                  0.941,              0.0051985,              0.0051985,              0.0051985
                     99,                 1.4029,                 1.0231,                0.96332,                0.42017,                0.31919,                0.31759,                0.18426,                 1.3455,                0.99227,                0.94156,               0.005149,               0.005149,               0.005149
                    100,                 1.3989,                 1.0189,                0.96297,                0.41962,                0.32013,                0.31652,                0.18415,                 1.3456,                0.99253,                0.94114,              0.0050995,              0.0050995,              0.0050995
                    101,                 1.4015,                 1.0196,                0.96348,                 0.4248,                0.31915,                 0.3177,                0.18443,                 1.3447,                0.99114,                0.94102,                0.00505,                0.00505,                0.00505
                    102,                 1.3988,                 1.0216,                0.96184,                0.42729,                0.31701,                0.31808,                0.18492,                 1.3449,                0.99046,                0.94088,              0.0050005,              0.0050005,              0.0050005
